ID,elevation,aspect,slope,hor_hydro,ver_hydro,hor_road,hillsd_9am,hillsd_noon,hillsd_3pm,hor_fire,cover_type,soil,wild,twild
1016,3080,90,4,285,46,3795,226,233,141,2850,1,29,1,w1
1017,3016,75,15,277,78,5292,237,212,103,571,2,30,1,w1
1018,2919,94,8,309,53,2962,232,229,129,1987,2,29,1,w1
1019,2782,20,11,301,26,1879,212,217,140,2812,2,12,1,w1
1020,2740,337,11,30,2,1651,196,225,168,2448,2,20,1,w1
1021,2742,354,14,30,6,1650,196,214,156,2440,2,29,1,w1
1022,2677,90,6,85,2,576,229,231,136,1471,1,12,1,w1
1023,3191,185,5,633,59,3187,221,244,158,3660,1,29,1,w1
1024,2955,58,10,182,42,4564,228,218,123,1890,2,29,1,w1
1025,2989,59,15,212,77,5202,230,207,105,450,2,30,1,w1
1026,2872,139,10,277,41,2483,236,237,131,2619,2,29,1,w1
1027,2797,359,12,30,1,2142,202,218,153,2942,2,23,1,w1
1028,3050,128,16,127,16,3858,245,228,107,2701,2,29,1,w1
1029,2964,248,13,335,71,5219,191,249,196,1112,2,30,1,w1
1030,2930,328,18,85,17,4222,173,216,181,446,2,29,1,w1
1031,2817,122,14,30,5,4793,243,228,110,127,1,23,1,w1
1032,2529,66,6,216,9,474,226,228,137,1127,1,9,1,w1
1033,2988,56,10,60,6,4119,227,218,124,2343,1,24,1,w1
1034,2840,107,13,108,9,2442,242,223,108,2654,2,30,1,w1
1035,2695,131,5,30,1,765,228,237,143,1443,1,12,1,w1
1036,2952,138,20,60,10,4410,246,228,100,1986,2,29,1,w1
1037,2968,261,14,309,78,5207,186,247,199,1090,2,30,1,w1
1038,2610,45,12,404,31,547,223,214,123,1025,2,9,1,w1
1039,2970,347,14,67,5,3661,193,217,162,1092,1,29,1,w1
1040,2752,238,4,60,2,1921,212,244,170,2793,2,20,1,w1
1041,2930,118,27,170,89,5209,254,205,61,391,2,30,1,w1
1042,2967,3,19,134,2,4364,191,200,143,285,1,29,1,w1
1043,2898,27,3,0,0,3446,218,232,151,1465,2,23,1,w1
1044,2775,298,5,108,30,1902,207,238,170,2563,2,29,1,w1
1045,3195,113,5,384,63,3077,230,234,138,3578,1,39,1,w1
1046,2833,354,14,30,2,2474,196,214,156,2610,1,23,1,w1
1047,2603,31,13,362,6,664,216,212,129,902,2,9,1,w1
1048,2614,59,15,350,17,684,230,207,105,882,2,9,1,w1
1049,2913,75,5,124,13,4682,226,231,140,1618,2,30,1,w1
1050,2916,243,21,85,26,4981,174,251,211,1295,2,30,1,w1
1051,2966,335,21,335,10,4629,167,206,175,255,2,29,1,w1
1052,2974,97,12,30,9,4355,240,222,110,255,1,29,1,w1
1053,2983,28,4,30,3,3929,218,232,150,800,1,23,1,w1
1054,2752,101,4,42,2,2069,226,234,144,2905,2,20,1,w1
1055,3086,94,12,67,9,3529,238,222,113,2929,2,29,1,w1
1056,3054,52,8,212,20,3905,225,223,132,2482,2,24,1,w1
1057,2760,100,13,60,0,2167,241,222,110,3065,2,12,1,w1
1058,3024,95,17,258,72,4019,245,213,91,2338,2,29,1,w1
1059,2959,355,15,150,7,4308,194,212,155,2012,2,24,1,w1
1060,2980,326,9,67,15,4329,199,231,171,295,1,29,1,w1
1061,2865,17,13,234,44,2446,209,213,139,2654,2,12,1,w1
1062,2757,358,11,67,2,2126,202,219,154,2889,2,29,1,w1
1063,2729,112,7,60,6,1242,232,233,133,1650,2,12,1,w1
1064,2728,252,5,30,2,1172,208,244,173,1571,2,23,1,w1
1065,2968,350,14,180,16,4347,193,215,160,1959,2,24,1,w1
1066,2969,78,8,272,88,5387,231,226,128,872,2,30,1,w1
1067,2768,105,13,30,7,2234,241,224,110,3004,2,23,1,w1
1068,2608,51,15,153,11,886,226,207,111,721,2,22,1,w1
1069,2954,342,7,192,50,3516,206,230,162,1561,2,29,1,w1
1070,2838,326,2,0,0,5270,215,237,160,510,2,23,1,w1
1071,2996,267,13,335,19,4725,186,245,197,182,2,29,1,w1
1072,2829,124,18,108,38,2388,247,225,99,2783,1,30,1,w1
1073,2765,324,15,216,30,1489,181,223,181,1833,2,12,1,w1
1074,2748,34,18,30,14,1298,214,197,113,1611,2,23,1,w1
1075,2864,160,18,42,13,5459,236,241,128,658,2,30,1,w1
1076,2768,31,11,192,28,1556,217,215,132,1879,2,12,1,w1
1077,2617,102,12,108,7,920,240,224,111,648,2,9,1,w1
1078,2779,3,16,42,3,2356,197,209,147,2905,2,23,1,w1
1079,2925,315,9,350,92,5013,195,233,177,484,2,29,1,w1
1080,3012,283,9,309,35,4739,194,241,186,134,2,29,1,w1
1081,2940,324,14,42,9,3819,184,224,179,1261,2,29,1,w1
1082,2743,109,14,90,0,1273,243,224,108,1465,2,12,1,w1
1083,3080,27,14,361,20,3733,213,210,130,2584,1,24,1,w1
1084,2856,331,10,85,4,2826,197,228,170,2259,2,29,1,w1
1085,2626,48,13,95,9,990,224,212,120,579,2,9,1,w1
1086,2949,45,7,295,47,3246,222,224,137,1905,2,29,1,w1
1087,2811,8,19,127,28,2430,194,198,137,2874,2,29,1,w1
1088,2791,45,18,90,28,2391,222,198,104,2954,2,29,1,w1
1089,2821,354,19,108,26,2479,184,203,154,2808,2,29,1,w1
1090,3165,45,3,201,26,2826,220,232,149,3601,1,29,1,w1
1091,2883,342,20,67,22,5550,176,206,167,834,2,29,1,w1
1092,2943,298,16,421,97,5044,175,233,198,457,2,29,1,w1
1093,2834,3,16,150,39,2496,197,208,146,2814,2,29,1,w1
1094,2880,353,16,30,5,5398,190,210,157,955,2,29,1,w1
1095,3023,6,14,404,43,4840,202,213,146,242,2,29,1,w1
1096,2909,118,14,108,19,3167,243,227,110,1931,2,30,1,w1
1097,2803,339,14,268,5,2177,189,219,169,2407,2,12,1,w1
1098,2571,98,15,150,25,1155,243,218,100,446,1,22,1,w1
1099,2949,325,19,390,95,5105,169,216,185,510,2,29,1,w1
1100,2946,155,10,212,44,3352,232,241,140,1784,2,30,1,w1
1101,2934,137,10,162,32,3290,236,236,131,1827,2,29,1,w1
1102,2830,66,12,192,65,2524,232,215,114,2854,2,29,1,w1
1103,2739,95,13,636,16,1158,240,221,110,899,2,12,1,w1
1104,3168,68,11,201,29,2846,232,218,118,3531,2,29,1,w1
1105,2920,301,21,210,66,5262,158,226,206,685,2,29,1,w1
1106,3049,3,17,201,9,4689,195,206,146,309,2,30,1,w1
1107,3139,152,11,342,26,3342,234,240,135,2955,1,30,1,w1
1108,2939,144,11,216,33,3437,236,238,132,1704,2,30,1,w1
1109,2855,121,3,0,0,2850,224,237,148,2295,1,23,1,w1
1110,2940,303,25,228,86,5320,144,219,211,726,2,29,1,w1
1111,3046,339,14,390,6,4900,190,219,168,365,2,29,1,w1
1112,3002,277,6,277,53,3987,205,241,175,1339,2,29,1,w1
1113,2791,54,13,0,0,2538,227,212,116,2713,2,23,1,w1
1114,2789,339,7,60,2,2460,204,230,164,2624,1,30,1,w1
1115,2764,37,7,577,33,1300,220,224,140,940,2,12,1,w1
1116,2715,164,8,446,91,1233,227,243,148,631,2,12,1,w1
1117,2913,301,21,90,30,5172,158,226,206,1209,2,29,1,w1
1118,3040,338,22,553,186,5094,167,203,172,492,2,29,1,w1
1119,2801,314,14,120,14,2423,183,229,186,2561,1,30,1,w1
1120,2995,132,18,108,27,3861,246,228,103,2395,2,30,1,w1
1121,2992,309,21,362,138,5269,158,221,201,661,2,29,1,w1
1122,2976,332,8,0,0,4278,201,230,168,1087,2,29,1,w1
1123,2745,65,17,633,121,1354,234,203,96,800,2,23,1,w1
1124,3047,173,11,180,23,3589,227,245,149,2669,1,30,1,w1
1125,2972,83,4,30,4,3950,225,233,143,2309,2,20,1,w1
1126,3003,45,3,361,52,4019,220,233,150,1355,2,29,1,w1
1127,2917,127,9,30,4,3528,236,234,129,1574,2,30,1,w1
1128,3072,316,13,437,32,5028,184,228,183,518,2,29,1,w1
1129,2763,117,1,618,20,1442,220,237,153,908,2,23,1,w1
1130,2611,58,17,242,8,1124,230,203,100,175,2,22,1,w1
1131,3101,13,14,255,55,4908,205,209,139,589,2,29,1,w1
1132,2897,353,8,85,13,4999,207,227,158,1445,2,29,1,w1
1133,2949,332,10,313,2,4356,196,227,170,1964,2,29,1,w1
1134,3051,180,10,495,140,5261,224,247,155,698,2,29,1,w1
1135,3005,327,10,60,11,4390,196,229,173,1173,1,29,1,w1
1136,2928,315,8,295,72,3025,198,233,175,2315,2,29,1,w1
1137,2821,351,9,277,26,1765,205,226,159,1410,2,12,1,w1
1138,3011,123,11,0,0,3606,239,231,121,2657,1,20,1,w1
1139,2942,90,14,300,48,4549,241,217,103,1813,2,29,1,w1
1140,3015,285,5,212,36,4295,207,240,172,1173,1,29,1,w1
1141,2748,59,7,510,124,1541,226,226,134,661,2,23,1,w1
1142,2644,31,18,258,19,1142,212,197,115,124,2,22,1,w1
1143,3100,100,11,295,55,4770,238,226,118,858,2,29,1,w1
1144,3049,90,20,134,16,4662,246,204,78,976,2,29,1,w1
1145,2649,307,17,120,2,1290,170,227,197,67,2,23,1,w1
1146,3013,324,24,108,8,4448,154,208,190,1136,1,29,1,w1
1147,2688,75,20,180,61,1590,240,199,81,342,2,29,1,w1
1148,2959,108,14,362,8,4150,244,222,104,2180,2,23,1,w1
1149,3030,13,9,242,41,4355,211,221,146,1084,2,29,1,w1
1150,2858,352,10,319,55,2208,202,222,158,1984,2,12,1,w1
1151,2758,90,7,510,0,1638,231,229,130,730,2,23,1,w1
1152,3031,40,7,283,42,4353,221,224,138,1052,2,29,1,w1
1153,2944,344,12,175,21,3739,195,220,164,1345,2,29,1,w1
1154,2894,93,12,0,0,3357,239,222,111,1856,2,23,1,w1
1155,3119,119,12,150,16,3048,240,229,117,3211,1,30,1,w1
1156,2977,230,20,228,66,5558,186,254,199,973,2,29,1,w1
1157,2774,75,10,466,15,1732,233,221,120,918,2,12,1,w1
1158,2968,6,14,361,74,4475,202,213,146,1953,2,29,1,w1
1159,3121,312,15,616,75,5269,179,228,189,845,2,29,1,w1
1160,2798,102,6,420,14,1812,230,233,137,1100,2,12,1,w1
1161,3068,290,25,451,157,5433,142,227,221,920,2,29,1,w1
1162,3004,349,22,541,36,4228,175,198,158,2174,2,29,1,w1
1163,2724,75,15,162,37,1630,237,210,100,450,2,29,1,w1
1164,3070,263,26,450,159,5477,146,242,228,977,2,29,1,w1
1165,3068,53,14,240,35,4585,227,208,111,895,2,29,1,w1
1166,2661,86,10,277,14,1165,235,223,119,351,2,23,1,w1
1167,2937,292,8,134,26,5749,199,239,180,1173,2,29,1,w1
1168,2939,93,10,365,75,3279,237,224,118,2318,2,29,1,w1
1169,2762,65,4,272,3,1872,223,231,143,778,2,12,1,w1
1170,2923,36,4,190,10,5085,220,230,147,1691,5,29,1,w1
1171,2923,175,5,42,8,4755,223,243,154,1890,5,29,1,w1
1172,2968,73,18,30,5,3756,238,203,91,1431,2,23,1,w1
1173,2863,144,2,330,51,2297,222,238,152,1790,2,12,1,w1
1174,2754,329,6,218,3,1800,207,233,165,661,2,12,1,w1
1175,2924,287,11,30,3,5728,190,240,189,1315,2,29,1,w1
1176,3119,78,9,228,40,5070,232,223,123,1061,2,29,1,w1
1177,3054,357,16,454,10,3566,194,210,152,2804,2,29,1,w1
1178,3064,3,13,644,63,4007,202,215,149,2447,2,29,1,w1
1179,2788,141,14,150,6,2078,240,236,123,1209,2,12,1,w1
1180,2754,190,4,153,3,1959,220,243,159,816,2,12,1,w1
1181,3060,358,16,495,16,3619,193,209,152,2773,2,29,1,w1
1182,3067,351,13,624,49,3913,196,217,159,2535,2,29,1,w1
1183,3064,11,13,570,140,4178,206,213,143,2334,2,29,1,w1
1184,2972,87,18,180,48,4562,243,208,88,2071,2,29,1,w1
1185,3007,139,10,201,1,4189,235,237,132,895,2,29,1,w1
1186,2751,185,8,120,0,1878,222,246,158,765,2,12,1,w1
1187,2694,18,4,60,6,1465,217,231,152,532,2,23,1,w1
1188,2974,265,13,360,48,5269,188,246,196,1676,2,29,1,w1
1189,2924,149,3,0,0,5626,223,239,151,1440,2,23,1,w1
1190,3123,118,8,360,44,5243,234,233,130,1116,2,29,1,w1
1191,2998,75,14,90,4,3890,236,213,104,1317,2,29,1,w1
1192,2879,124,3,268,67,2532,225,237,146,2052,2,12,1,w1
1193,2570,101,15,134,29,864,244,218,99,722,2,30,1,w1
1194,3119,331,16,212,26,3020,181,219,176,3308,1,30,1,w1
1195,3070,16,17,618,33,3783,203,203,133,2666,2,29,1,w1
1196,3080,3,16,600,156,4138,197,208,146,2397,2,29,1,w1
1197,2792,102,12,60,8,2212,240,224,111,1383,2,30,1,w1
1198,3051,269,24,437,140,5740,150,240,225,1282,2,29,1,w1
1199,3169,214,5,551,61,5454,215,245,166,1233,2,29,1,w1
1200,3139,7,24,295,46,3095,184,187,133,3263,1,30,1,w1
1201,3100,21,23,424,23,3330,197,183,114,3062,1,29,1,w1
1202,2991,107,22,242,67,4484,251,209,75,2202,2,29,1,w1
1203,2935,41,13,42,9,4692,221,211,123,2080,5,23,1,w1
1204,2968,70,8,424,54,3558,229,225,129,2089,2,29,1,w1
1205,3131,65,10,342,23,5343,230,221,123,1075,2,29,1,w1
1206,3121,56,11,295,13,5297,227,218,123,1024,2,29,1,w1
1207,3014,100,17,335,55,4387,246,215,93,2305,2,29,1,w1
1208,2997,63,7,95,16,3877,226,226,134,1528,2,29,1,w1
1209,2739,144,6,30,4,1831,230,239,143,865,2,12,1,w1
1210,2946,323,7,30,4,4767,201,233,171,2136,5,29,1,w1
1211,3154,74,10,379,46,5470,232,222,122,1115,2,29,1,w1
1212,2870,47,12,201,12,3017,224,213,121,2601,2,29,1,w1
1213,2688,59,19,30,1,1443,231,197,91,755,2,23,1,w1
1214,2960,301,10,153,23,4884,192,236,183,2103,1,29,1,w1
1215,2995,63,10,242,24,4054,229,221,124,1300,2,29,1,w1
1216,2762,42,11,124,4,2103,222,216,128,1082,2,12,1,w1
1217,3162,33,11,573,135,3985,218,215,132,2652,2,30,1,w1
1218,3065,68,20,300,52,4667,236,197,84,430,2,30,1,w1
1219,3009,337,6,212,25,4012,207,231,164,1434,2,29,1,w1
1220,2808,357,20,95,20,2468,183,199,149,1574,2,29,1,w1
1221,2995,85,17,417,53,5177,242,210,92,1936,1,29,1,w1
1222,3053,301,17,420,124,5942,170,230,200,1521,2,29,1,w1
1223,3019,315,2,162,12,4335,214,237,161,859,2,29,1,w1
1224,3098,271,23,570,169,5871,153,240,223,1507,2,29,1,w1
1225,3123,37,16,418,49,4928,218,202,116,362,2,30,1,w1
1226,2879,118,10,300,21,3088,238,231,123,2609,2,29,1,w1
1227,3118,35,12,450,69,4911,219,214,129,313,2,30,1,w1
1228,2850,355,23,124,24,2725,176,193,150,1986,2,29,1,w1
1229,3185,18,21,543,5,3585,199,192,123,3015,1,30,1,w1
1230,2910,43,11,255,37,3231,222,215,126,2743,2,29,1,w1
1231,2757,51,6,85,9,1812,223,227,139,1033,2,12,1,w1
1232,3120,81,10,391,71,4936,234,222,118,247,2,30,1,w1
1233,3113,103,19,339,76,4119,248,212,85,2689,2,30,1,w1
1234,3018,340,6,376,34,4187,207,231,163,1366,2,29,1,w1
1235,3113,97,20,319,76,4117,248,206,77,2713,2,30,1,w1
1236,3103,159,8,283,54,4924,229,242,145,182,2,29,1,w1
1237,3160,298,11,277,55,5243,189,236,188,446,2,29,1,w1
1238,2807,53,10,319,28,2282,226,218,126,1403,2,12,1,w1
1239,2754,71,9,0,0,1772,230,223,126,1131,2,29,1,w1
1240,3113,88,23,277,69,4114,247,196,66,2760,2,30,1,w1
1241,2961,280,20,134,24,5703,160,237,215,1855,1,29,1,w1
1242,3008,280,25,216,76,5793,142,233,226,1822,1,29,1,w1
1243,3122,298,7,201,15,5494,200,238,177,760,1,23,1,w1
1244,3156,141,3,361,60,5205,224,238,150,351,2,29,1,w1
1245,2857,99,12,365,51,2671,240,222,110,1706,2,29,1,w1
1246,3231,33,16,379,40,3753,215,205,121,3015,2,30,1,w1
1247,3034,345,5,258,14,4374,211,232,160,1173,2,29,1,w1
1248,3198,36,20,335,75,3902,215,193,106,2938,2,40,1,w1
1249,2882,271,15,190,45,2979,179,244,204,2182,2,29,1,w1
1250,2952,144,9,95,6,5281,233,239,137,2131,1,23,1,w1
1251,3123,78,22,192,25,5140,242,194,71,90,2,29,1,w1
1252,2954,328,7,295,40,3615,203,232,168,2490,2,29,1,w1
1253,2935,98,10,335,78,3481,237,225,118,2700,2,29,1,w1
1254,2909,157,17,459,78,2910,237,240,127,1987,2,12,1,w1
1255,2771,39,6,42,1,2010,220,227,142,1396,2,29,1,w1
1256,2754,58,10,150,0,1710,228,218,123,1310,2,29,1,w1
1257,3047,354,20,42,10,4380,182,200,152,2784,1,29,1,w1
1258,2697,60,13,433,37,1290,230,212,113,1291,2,23,1,w1
1259,3037,274,17,484,95,5970,173,242,208,1684,1,29,1,w1
1260,3147,178,5,306,47,5366,223,243,155,323,1,29,1,w1
1261,2849,6,7,0,0,3314,212,226,152,2583,2,23,1,w1
1262,2772,114,3,67,0,1921,224,236,147,1438,2,29,1,w1
1263,3029,58,21,255,18,4620,230,191,85,2676,1,29,1,w1
1264,3013,50,17,379,68,4204,226,201,103,1776,2,29,1,w1
1265,3211,203,8,175,20,3481,216,247,166,3396,1,30,1,w1
1266,3060,70,14,90,17,4888,234,211,105,626,1,30,1,w1
1267,2962,73,6,162,14,4010,227,229,136,2078,2,23,1,w1
1268,2714,49,21,297,43,1624,223,190,91,1406,2,29,1,w1
1269,2719,337,14,319,35,1595,188,219,170,1401,2,29,1,w1
1270,3123,75,13,0,0,4112,235,216,110,3029,1,29,1,w1
1271,3096,356,22,67,16,4292,179,194,148,2933,1,29,1,w1
1272,2951,338,4,108,10,5461,210,233,162,2200,1,23,1,w1
1273,2793,127,7,30,2,2435,232,236,136,1776,2,23,1,w1
1274,2796,345,11,67,14,2046,197,222,163,1570,2,29,1,w1
1275,2672,91,16,457,128,1150,243,213,95,1426,2,23,1,w1
1276,3142,106,17,30,6,4023,247,217,93,3104,1,30,1,w1
1277,2956,28,7,170,15,5522,218,225,143,2143,1,23,1,w1
1278,2797,29,10,162,18,1928,217,219,137,1549,2,29,1,w1
1279,2792,51,9,192,15,1869,225,221,129,1528,2,29,1,w1
1280,2959,302,6,67,11,5373,203,237,174,2296,1,23,1,w1
1281,3102,68,16,210,59,5028,235,207,99,551,1,29,1,w1
1282,3043,135,2,541,76,4462,222,238,151,1554,2,29,1,w1
1283,2942,108,17,201,53,3763,246,219,96,2564,2,29,1,w1
1284,3162,157,12,30,0,3906,233,241,137,3222,1,23,1,w1
1285,3034,80,12,474,89,4328,236,218,111,1766,2,29,1,w1
1286,3040,167,6,466,73,4458,225,242,151,1624,2,29,1,w1
1287,2797,49,10,283,18,1850,224,218,127,1604,2,29,1,w1
1288,2966,318,7,134,18,5407,201,234,172,2279,1,23,1,w1
1289,2971,259,16,300,9,5766,180,247,205,1924,1,29,1,w1
1290,3072,209,14,616,96,6127,209,252,176,1579,1,29,1,w1
1291,3064,7,6,30,0,5009,213,229,153,819,1,29,1,w1
1292,3025,194,15,492,58,4631,216,251,165,1463,2,29,1,w1
1293,2897,274,11,201,40,3398,192,243,191,2706,1,12,1,w1
1294,2820,30,11,255,38,1978,216,215,133,1699,2,29,1,w1
1295,2768,79,13,488,4,1660,237,216,107,1642,2,29,1,w1
1296,2966,160,7,60,2,5442,228,242,147,2265,2,23,1,w1
1297,3154,261,11,866,10,6196,194,246,191,1237,2,29,1,w1
1298,3085,356,11,120,20,5045,202,220,155,942,1,29,1,w1
1299,2882,348,14,30,1,3759,192,216,161,2742,2,23,1,w1
1300,2892,10,20,60,22,3650,194,196,134,2861,2,29,1,w1
1301,3084,299,20,591,105,6204,161,228,206,1549,2,29,1,w1
1302,2913,234,4,277,53,3287,213,243,168,2793,1,12,1,w1
1303,2830,90,10,0,0,2638,235,224,120,2263,2,23,1,w1
1304,2962,121,22,134,43,4073,251,216,81,2387,2,30,1,w1
1305,2844,117,11,0,0,2671,239,230,120,2324,2,23,1,w1
1306,2834,347,11,30,4,2596,198,222,162,2268,2,23,1,w1
1307,2860,25,4,175,41,2400,218,231,150,2131,2,29,1,w1
1308,2839,57,5,437,56,1931,223,229,142,1945,2,29,1,w1
1309,2744,77,9,242,5,1560,232,224,125,1862,2,29,1,w1
1310,2974,37,9,95,6,5176,220,219,134,2638,2,23,1,w1
1311,3100,60,8,90,4,5437,226,224,132,949,1,29,1,w1
1312,2902,164,11,175,30,3326,230,243,144,2918,2,29,1,w1
1313,2760,80,11,120,10,1542,234,221,118,2016,2,29,1,w1
1314,3038,58,18,391,71,4948,230,198,94,1565,1,29,1,w1
1315,2852,96,5,323,43,1921,228,233,139,2163,2,29,1,w1
1316,2830,83,11,210,35,1676,236,220,114,2112,2,29,1,w1
1317,2664,113,14,95,15,1237,243,225,108,2101,2,29,1,w1
1318,3072,234,14,466,65,5962,195,252,192,1698,2,29,1,w1
1319,3139,266,15,765,127,6196,182,245,202,1429,2,30,1,w1
1320,3110,15,7,212,22,5419,214,226,149,1211,1,29,1,w1
1321,3114,261,15,671,107,6110,183,247,202,1518,2,30,1,w1
1322,3160,141,14,242,16,5958,240,236,123,953,1,19,1,w1
1323,3153,90,0,335,11,5842,219,237,155,930,1,19,1,w1
1324,3067,220,16,474,60,5940,199,254,187,1706,2,30,1,w1
1325,3153,11,7,457,57,5757,213,225,150,983,1,29,1,w1
1326,3158,0,8,417,16,5861,209,226,155,992,1,29,1,w1
1327,3108,108,8,426,15,5207,233,232,130,1421,1,29,1,w1
1328,2962,329,11,95,8,4242,194,227,173,2241,1,29,1,w1
1329,2913,128,18,85,28,3434,247,225,99,2799,2,29,1,w1
1330,2998,337,17,175,6,5689,180,215,172,1991,1,22,1,w1
1331,2875,31,7,95,6,3027,218,225,143,2659,2,29,1,w1
1332,2886,319,15,162,26,2914,180,225,185,2639,2,29,1,w1
1333,2901,336,6,323,31,2201,206,231,164,2509,2,29,1,w1
1334,2857,85,3,190,32,1864,223,234,147,2353,2,29,1,w1
1335,3073,15,22,424,57,4930,194,188,124,1663,1,29,1,w1
1336,3088,21,22,382,72,4895,199,187,117,1706,1,29,1,w1
1337,2875,2,13,30,2,3236,202,215,150,2658,2,23,1,w1
1338,2885,359,30,120,16,3064,162,172,136,2613,2,29,1,w1
1339,2918,12,24,335,63,2613,188,184,125,2552,2,29,1,w1
1340,2683,52,15,255,34,1073,227,206,108,2300,2,29,1,w1
1341,2890,70,6,182,27,2026,226,229,137,2525,2,29,1,w1
1342,3150,278,10,595,126,5988,191,242,190,1634,2,30,1,w1
1343,3024,84,2,313,72,4032,222,235,149,2469,2,29,1,w1
1344,3024,153,2,330,82,3944,222,239,153,2549,2,29,1,w1
1345,2913,45,3,309,16,2312,220,233,150,2499,2,29,1,w1
1346,2767,30,14,127,12,1172,215,208,127,2340,2,29,1,w1
1347,3125,119,7,391,30,5529,233,234,133,1343,1,29,1,w1
1348,3070,92,18,234,56,4760,245,209,86,1855,1,29,1,w1
1349,2907,99,6,228,10,2234,230,232,136,2445,2,29,1,w1
1350,3208,25,7,540,64,6224,217,225,145,1253,1,29,1,w1
1351,2975,56,7,450,115,2647,225,225,134,2407,2,29,1,w1
1352,2770,70,6,192,3,1104,227,228,135,2430,1,29,1,w1
1353,3151,271,11,674,108,6092,192,244,191,1573,2,30,1,w1
1354,3067,148,12,309,36,4947,235,239,133,1782,2,30,1,w1
1355,2854,37,14,42,4,1731,219,208,122,2467,2,29,1,w1
1356,3230,330,8,713,86,6215,202,231,168,1381,1,29,1,w1
1357,3208,55,11,636,75,5735,227,216,121,1471,1,29,1,w1
1358,3078,88,12,295,27,4990,238,220,110,1832,1,29,1,w1
1359,2953,100,13,150,35,3419,241,222,109,2443,2,29,1,w1
1360,2906,38,6,0,0,2078,220,227,143,2249,2,20,1,w1
1361,2792,99,9,277,5,1074,235,228,125,2612,2,29,1,w1
1362,2964,25,7,85,12,3531,217,225,145,2469,2,29,1,w1
1363,2987,79,5,400,48,2584,226,231,139,2167,2,29,1,w1
1364,2961,346,9,0,0,3759,203,226,161,2538,1,29,1,w1
1365,3157,85,6,454,24,5454,228,230,136,1678,1,29,1,w1
1366,3146,118,6,424,67,5334,230,235,138,1731,1,29,1,w1
1367,2963,312,13,258,67,2890,185,230,185,2132,2,29,1,w1
1368,2989,184,4,323,16,2708,220,242,157,2067,2,29,1,w1
1369,3202,130,11,474,54,5775,239,234,123,1660,1,29,1,w1
1370,3154,128,8,342,21,5474,234,235,132,1777,1,29,1,w1
1371,2954,14,9,85,8,3383,212,222,147,2227,2,23,1,w1
1372,2818,33,11,457,6,953,218,216,133,2466,2,29,1,w1
1373,3148,127,9,306,15,5442,236,234,128,1816,1,20,1,w1
1374,3069,114,17,258,45,4273,247,220,96,2527,2,29,1,w1
1375,2861,16,6,190,2,1245,215,227,149,2233,2,29,1,w1
1376,2779,58,6,474,62,711,224,228,138,2571,2,29,1,w1
1377,2731,71,9,408,68,467,230,223,126,2780,2,29,1,w1
1378,2981,90,2,210,6,2836,222,236,150,1950,2,29,1,w1
1379,2847,59,11,390,7,1034,228,216,119,2323,2,29,1,w1
1380,2975,146,2,120,2,2534,221,238,153,1869,1,29,1,w1
1381,2738,67,7,360,21,450,228,226,132,2717,2,29,1,w1
1382,3174,64,6,242,26,5615,226,228,136,1871,1,20,1,w1
1383,3072,287,14,85,14,4686,180,239,198,2305,2,29,1,w1
1384,2746,72,8,335,29,484,230,224,127,2652,2,29,1,w1
1385,3046,314,15,297,21,4794,179,227,188,2831,1,29,1,w1
1386,3244,277,17,711,178,6192,172,241,208,1895,2,29,1,w1
1387,3020,45,5,42,0,4084,222,228,142,2482,2,29,1,w1
1388,2995,317,10,175,32,3155,194,231,178,1947,2,29,1,w1
1389,3208,99,11,351,60,5822,239,224,114,1914,2,29,1,w1
1390,3003,36,16,153,5,3573,217,203,117,2131,1,29,1,w1
1391,2936,130,4,120,7,1926,226,237,146,1790,2,29,1,w1
1392,2882,107,15,258,3,1239,244,221,103,2064,2,29,1,w1
1393,3097,328,6,180,38,4622,206,233,166,2436,1,29,1,w1
1394,3091,72,6,268,35,4532,227,228,136,2493,1,29,1,w1
1395,2973,98,2,0,0,2583,222,236,151,1727,1,19,1,w1
1396,2934,180,1,60,0,1922,219,239,157,1732,1,29,1,w1
1397,2776,140,8,228,43,577,232,238,138,2440,2,30,1,w1
1398,2752,94,8,182,35,400,232,229,129,2574,2,30,1,w1
1399,3081,30,25,459,66,4582,204,177,98,3042,1,29,1,w1
1400,3081,11,6,30,3,4830,214,228,151,2363,2,29,1,w1
1401,3097,43,11,120,26,4920,222,216,127,2341,2,29,1,w1
1402,3037,334,10,85,11,4050,197,227,169,2356,2,29,1,w1
1403,3030,346,7,201,6,3660,207,229,161,2090,2,29,1,w1
1404,3261,33,11,601,113,6090,218,216,133,2040,2,29,1,w1
1405,3036,11,5,0,0,4170,215,230,152,2424,2,23,1,w1
1406,2972,77,3,120,2,2550,224,233,145,1604,1,29,1,w1
1407,2760,165,14,153,27,600,232,244,140,2357,2,29,1,w1
1408,3043,39,10,256,6,3750,221,218,131,2103,2,29,1,w1
1409,3001,61,8,90,9,2970,227,223,129,1682,2,29,1,w1
1410,2795,110,10,150,6,871,238,229,120,2143,2,29,1,w1
1411,3070,243,5,60,4,5533,209,244,173,2322,2,23,1,w1
1412,3129,29,10,120,0,5220,217,219,137,2285,2,23,1,w1
1413,3051,27,6,277,30,3840,217,226,145,2143,2,29,1,w1
1414,3024,0,6,242,36,3211,211,228,155,1760,2,29,1,w1
1415,3221,229,15,626,148,6051,197,252,190,2160,2,30,1,w1
